Date,Adj Close,daily_ret,,,Total return,8%
11-04-17,141.630005,0.0%,,,,
12-04-17,141.800003,0.1%,,,,
13-04-17,141.050003,-0.5%,,Avg daily ret,0.4%,
17-04-17,141.830002,0.6%,,STD daily ret,0.9%,
18-04-17,141.199997,-0.4%,,Sharpe Ratio,6.678347544,
19-04-17,140.679993,-0.4%,,,,
20-04-17,142.440002,1.3%,,,,
21-04-17,142.270004,-0.1%,,,,
24-04-17,143.639999,1.0%,,,,
25-04-17,144.529999,0.6%,,,,
26-04-17,143.679993,-0.6%,,,,
27-04-17,143.789993,0.1%,,,,
28-04-17,143.649994,-0.1%,,,,
01-05-17,146.580002,2.0%,,,,
02-05-17,147.509995,0.6%,,,,
03-05-17,147.059998,-0.3%,,,,
04-05-17,146.529999,-0.4%,,,,
05-05-17,148.960007,1.7%,,,,
08-05-17,153.009995,2.7%,,,,
09-05-17,153.990005,0.6%,,,,
10-05-17,153.389999,-0.4%,,,,
